Station,Address,City,State,Longitude,Latitude
Connecticut Department of Energy and Environmental Protection,79 Elm St,Hartford,CT,-72.678633,41.763294
Arapahoe Parking Lot,105 LaSalle Rd,West Hartford,CT,-72.744596,41.759108
Southington Public Library,255 Main St,Southington,CT,-72.877465,41.596225
NBCSG,84 Maher Rd,Stamford,CT,-73.5160406,41.053776
Paul Miller Nissan,930 Kings Hwy E,Fairfield,CT,-73.233711,41.167407
Town of New Fairfield - Town Hall,4 Brush Hill Rd,New Fairfield,CT,-73.487032,41.465514
Chip's Family Restaurant - Tesla Destination,321  Boston Post Rd,Orange,CT,-73.004741,41.2645
George Harte Nissan,426 Derby Ave,West Haven,CT,-72.968506,41.307602
STOP SHOP,148 Heights Rd,Darien,CT,-73.4948097,41.070243
East Shore District Health Department,688 E Main St,Branford,CT,-72.756902,41.305071
Ridgefield BMW,746 Danbury Rd,Ridgefield,CT,-73.472615,41.331117
Big Y,22 Spencer Plain Rd,Old Saybrook,CT,-72.416634,41.286482
Green Farms Plaza,1460 Post Rd E,Westport,CT,-73.314364,41.138478
Bridgeport Hospital,267 Grant St,Bridgeport,CT,-73.166282,41.190701
Town of Stafford - Community Center,3 Buckley Hwy,Stafford Springs,CT,-72.289249,41.956727
Constitution Plaza - South,109 Constitution Plaza,Hartford,CT,-72.670032,41.767185
Coventry Town Hall,1712 Main St,Coventry,CT,-72.312334,41.780058
Curran Volkswagen,2785 Main St,Stratford,CT,-73.131808,41.198467
644 West Putnam,644 West Putnam Avenue,Greenwich,CT,-73.6476069,41.016928
Grove Street Parking Garage,65 Grove Street,New Haven,CT,-72.9217309,41.3103893
Mohegan Sun - Tesla Destination,1 Mohegan Sun Blvd,Uncasville,CT,-72.086688,41.488423
CVS West Haven,355 Campbell Ave,West Haven,CT,-72.948327,41.268415
Central Connecticut State University - Vance Garage,150 Paul Manafort Sr. Dr,New Britain,CT,-72.766414,41.690789
City of New Haven - Crown Street Parking Garage,213 Crown St,New Haven,CT,-72.928864,41.305993
Figaro Restaurant,90 Elm St,Enfield,CT,-72.583384,41.997588
Middletown School District - Board of Education,311 Hunting Hill Ave,Middletown,CT,-72.647076,41.541535
Mansfield Parking Garage,9 Dog Ln,Storrs,CT,-72.243355,41.804877
Brass Mill Center - Entrance 6,495 Union St,Waterbury,CT,-73.026799,41.55022
Ellington Town Hall,55 Main St,Ellington,CT,-72.467484,41.903582
Fairfield Tennis Center,210 Old Dam Rd,Fairfield,CT,-73.2665157,41.1247387
Trinity College,18-60 Crescent St,Hartford,CT,-72.689438,41.745582
Saugatuck Fire Station,Railroad Place,Westport,CT,-73.370496,41.119206
COMCAST,222 New Park Dr,Berlin,CT,-72.749512,41.597163
Kent Town Hall,41 Kent Green Blvd,Kent,CT,-73.47251,41.727419
Dunkin' Donuts,1205 Tolland Tpke,Manchester,CT,-72.555059,41.797073
County Line Nissan - North,522 Winsted Rd,Torrington,CT,-73.1107105,41.8269547
TOWN OF MADISON,761 Boston Post Rd,Madison,CT,-72.595184,41.280284
Rocky Neck State Park,244 W Main St,Niantic,CT,-72.24323,41.300883
ELEMENT STATION,111 Morgan St,Stamford,CT,-73.5370682,41.0631099
Saybrook Point Marina,2 Bridge St,Old Saybrook,CT,-72.351019,41.283487
Town of Groton - Town Hall,45 Fort Hill Rd,Groton,CT,-72.033489,41.345816
Harte Nissan,165 W Service Rd,Hartford,CT,-72.656681,41.791382
Highland Park Market,317 Highland St,Manchester,CT,-72.490259,41.766005
Nissan - Norwich,691 W Thames St,Norwich,CT,-72.097938,41.498591
Wesleyan University,56 Hamlin Ct,MIddletown,CT,-72.65242,41.557262
HAMPTON INN,129 Plains Rd,Milford,CT,-73.076682,41.22269
Aitoro Appliance,401 Westport Ave,Norwalk,CT,-73.390319,41.126373
Putnam Downtown Municipal Parking Lot,165 Kennedy Dr,Putnam,CT,-71.9105762,41.914329
NYALA GAR 3,400 Nyala Farms Rd,Westport,CT,-73.3269248,41.1223426
WHOLE FOODS MKT,5c Sugar Hollow Rd,Danbury,CT,-73.4755929,41.3781241
East Norwalk Library,51 Van Zant St,Norwalk,CT,-73.40565,41.102079
Greenwich Southbound Travel Plaza - Tesla Supercharger,2000 Merritt Parkway,Greenwich,CT,-73.673445,41.040555
Propark America - Omni Hotel Chapel Square Garage,155 Temple St,New Haven,CT,-72.927405,41.305794
Mystic Marriott Hotel and Spa - Tesla Destination,625 North Rd,Groton,CT,-72.025954,41.365919
Connecticut Post Mall - Target,1201 Boston Post Rd,Milford,CT,-73.038159,41.235232
SPIREP,1 N Water St,Norwalk,CT,-73.4165867,41.0999699
Town of Norfolk - Town Clerk,19 Maple Ave,Norfolk,CT,-73.197598,41.990635
Waterford Commons,915 Hartford Turnpike,Waterford,CT,-72.150349,41.380138
Clinton Town Hall,54 E Main St,Clinton,CT,-72.524041,41.276743
Cargill Chevrolet,23 Livery St,Putnam,CT,-71.908102,41.916161
Bedford Street Garage,17 Forest St,Stamford,CT,-73.537286,41.056092
Pomfret Town Hall,5 Haven Rd,Pomfret,CT,-71.998608,41.859648
Delamar Greenwich Harbor - Tesla Destination,500 Steamboat Rd,Greenwich,CT,-73.623525,41.017757
East Hartford Public Schools - Department of Facilities,734 Tolland St,East Hartford,CT,-72.602704,41.784813
Windham Municipal Parking Lot,48 Church St,Willimantic,CT,-72.211716,41.712492
Heritage Hotel - Tesla Destination,522 Heritage Rd,Southbury,CT,-73.225707,41.491538
Tri-Town Teachers Federal Credit Union,61 Jessup Rd,Westport,CT,-73.358893,41.140188
Morgan Street Garage,155 Morgan St,Hartford,CT,-72.672545,41.769974
NBCSG,Unnamed Road,Stamford,CT,-73.5160366,41.0532451
Napoli Nissan,688 Bridgeport Ave,Milford,CT,-73.083686,41.209761
Congregational Church of Somersville,22 Maple St,Somersville,CT,-72.489406,41.983904
I-95 Darien NB Service Plaza - Tesla Supercharger,1 E Trail,Darien,CT,-73.462202,41.079848
Town of Hamden - Spring Glen Municipal Parking Lot,1665 Whitney Ave,Hamden,CT,-72.909054,41.359826
City of Milford - Parsons Government Center,70 W River St,Milford,CT,-73.062364,41.226575
Hoffman Nissan,46 Albany Turnpike,West Simsbury,CT,-72.869319,41.820371
Premier Chevrolet,512 Providence Rd,Brooklyn,CT,-71.906607,41.798222
The Wallingford Victorian Inn - Tesla Destination,245 N Main St,Wallingford,CT,-72.815676,41.45749
HONDADANBURY,102 Federal Rd,Danbury,CT,-73.4232598,41.4158651
Village Center,87 Main St,East Hampton,CT,-72.501947,41.575311
Connecticut Department of Corrections,38 Wolcott Hill Rd,Wethersfield,CT,-72.6724544,41.725002
Stamford Marriott Hotel - Tesla Destination,243 Tresser Blvd,Stamford,CT,-73.535139,41.051614
Woodbridge Town Library,10 Newton Rd,Woodbridge,CT,-73.011407,41.353582
Waterworks - Tesla Destination,60 Backus Ave,Danbury,CT,-73.491965,41.370291
Town of East Haven,250 Main St,East Haven,CT,-72.871663,41.277368
DECORMIER NISS,30 Tolland Turnpike,Manchester,CT,-72.5090873,41.813843
Lia Nissan - Enfield,10 Palomba Dr,Enfield,CT,-72.574713,41.997574
North Canaan Shopping Center - Tesla Supercharger,11 E Main St,North Canaan,CT,-73.322808,42.024351
Lombard Ford,385 New Hartford Rd,Barkhamsted,CT,-73.042576,41.909753
Danbury Fair Mall,7 Backus Ave,Danbury,CT,-73.47904,41.380158
City of Milford - Public Library,57 New Haven Ave,Milford,CT,-73.053647,41.221934
Public Parking Lot,1 Morse Ct,New Canaan,CT,-73.4924,41.1464
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,CT,-73.009059,41.245823
TS,1 American Ln,Greenwich,CT,-73.7226456,41.0983971
Russell Mercier Senior Center,14 Stonecroft Dr,Hebron,CT,-72.367191,41.65659
Roger Ludlowe School,689 Unquowa Rd,Fairfield,CT,-73.261769,41.148757
Town of Hebron,15 Gilead St,Hebron,CT,-72.366742,41.658572
Southington Municipal Center,200 N Main St,Southington,CT,-72.87939,41.606301
Middletown School District - Middletown High School,200 LaRosa Ln,Middletown,CT,-72.681921,41.576716
Town of Groton - Town Hall Annex,134 Groton Long Point Rd,Groton,CT,-72.009806,41.341893
TOWN HALL,31 Park Street,Guilford,CT,-72.6798002,41.2832367
TRUMBULL MALL,5065 Main Street,Trumbull,CT,-73.2246399,41.2286526
Parthenon Diner of Old Saybrook - Tesla Destination,809 Boston Post Rd,Old Saybrook,CT,-72.38345,41.292172
Western Connecticut State University,43 Lake Ave Extension,Danbury,CT,-73.492801,41.394446
BIG Y FOODS,224 Salem Turnpike,Norwich,CT,-72.12423,41.50579
Ridgeway Shopping Center,2202 Bedford St,Stamford,CT,-73.545939,41.068654
Clark Memorial Library,538 Amity Rd,Bethany,CT,-72.99499,41.427276
City of New Haven - Orchard Sherman Parking Lot,102 N Frontage Rd,New Haven,CT,-72.944576,41.306583
Town of Westport - Westport Metro North,1 Railroad Pl,Westport,CT,-73.369266,41.119291
Greenwich Northbound Travel Plaza - Tesla Supercharger,3000 Merritt Parkway,Greenwich,CT,-73.671661,41.041538
Central Connecticut State University- Welte Garage,39 Ella Grasso Blvd,New Britain,CT,-72.769268,41.692299
Isham Garage,17 Isham Rd,West Hartford,CT,-72.740521,41.760873
GENE LANGAN VW,816 New London Turnpike,Glastonbury,CT,-72.593366,41.704415
I-91 Tech Park,845 Brook St,Rocky Hill,CT,-72.676125,41.641774
Homestead Inn - Tesla Destination,5 Elm St,New Milford,CT,-73.411005,41.580889
Western Connecticut State University,179 White St,Danbury,CT,-73.44475,41.399432
Grace Mayflower Inn and Spa - Tesla Destination,118 Woodbury Rd,"Rte 47, Washington",CT,-73.305987,41.628601
I-95 Madison SB Service Plaza - Tesla Supercharger,I-95 South Bound,Madison,CT,-72.57936232,41.2919023
Bishop's Orchards Farm Market,1355 Boston Post Rd,Guilford,CT,-72.695702,41.290395
Campus at Greenhill,108 Leigus Road,Wallingford,CT,-72.775522,41.478889
Connecticut Department of Motor Vehicles,1365 Highland Ave,Cheshire,CT,-72.8935933,41.5374181
Town of Glastonbury - Town Hall,2155 Main St,Glastonbury,CT,-72.611655,41.706856
Green’s Farms Railroad Station,2 Post Office Ln,Westport,CT,-73.315136,41.122442
Connecticut Insurance Exchange of Southington,1133 Meriden-Waterbury Turnpike,Plantsville,CT,-72.88305,41.564358
HOFFMAN HONDA 1,40 Albany Turnpike,Simsbury,CT,-72.869331,41.818224
CT RAIL,51 Depot Rd,Berlin,CT,-72.7653384,41.6356154
Three Rivers Community College,574 New London Turnpike,Norwich,CT,-72.10451,41.510596
Town of Stafford - Public Works Garage,210 E St,Stafford Springs,CT,-72.290233,41.984164
Woodbridge Town Hall,11 Meetinghouse Ln,Woodbridge,CT,-73.014176,41.354138
Steelpointe Harbor,255 East Main Street,Bridgeport,CT,-73.1812232,41.1781223
COMM LOT STA 1,5 Depot Pl,Bethel,CT,-73.4145557,41.3703626
The Promenade Shops at Evergreen Walk - Tesla Destination,401 Evergreen Wy,South Windsor,CT,-72.556345,41.812203
TOWN OF PUTNAM,1-73 Canal St,Putnam,CT,-71.9098896,41.914513
Maritime Garage,11 North Water Street,Norwalk,CT,-73.418955,41.104278
GE WS - Price Chopper #243 Storrs CT 2,1220  Storrs Rd,Mansfield,CT,-72.241315,41.801976
Stratford Square,411 Barnum Ave Cutoff,Stratford,CT,-73.122342,41.198018
Cumberland Farms,471 New Park Ave,West Hartford,CT,-72.718112,41.741696
City of New Haven - Air Rights Garage,60 York St,New Haven,CT,-72.934141,41.305265
Lime Rock Park - Tesla Destination,60 White Hollow Rd,Lakeville,CT,-73.389367,41.930342
Danbury Fair Mall - Tesla Supercharger,7 Backus Ave,Danbury,CT,-73.477961,41.379441
Western Connecticut State University,198 White St,Danbury,CT,-73.443485,41.398492
Coventry High School,78 Ripley Hill Rd,Coventry,CT,-72.313767,41.782923
Bell Street Garage,28 Bell St,Stamford,CT,-73.540733,41.052215
