pointname,latitude,longitude
69,41.7485712,-72.6776126
70,41.80008702,-72.70828589
71,41.77869429,-72.6996619
72,41.78775897,-72.67612164
73,41.74456119,-72.67600166
74,41.80311825,-72.69490776
75,41.79239432,-72.69881016
76,41.77958032,-72.69120984
77,41.74347707,-72.67643619
78,41.79356962,-72.66981239
79,41.73947685,-72.67784217
80,41.77224546,-72.69620964
81,41.73767876,-72.67123044
82,41.7302685,-72.66860633
83,41.75891759,-72.68910891
84,41.77243545,-72.67803544
85,41.76361066,-72.7090672
86,41.78093845,-72.68160423
87,41.77243545,-72.67803544
88,41.79138682,-72.70238949
89,41.75448766,-72.66933458
90,41.73709593,-72.67532826
91,41.74355085,-72.70321844
92,41.77509281,-72.68650692
93,41.75896186,-72.67964067
94,41.77955876,-72.69554289
95,41.78093845,-72.68160423
96,41.75133253,-72.67830742
97,41.80332125,-72.69543621
98,41.74294224,-72.70935807
99,41.78547552,-72.6988145
100,41.73799122,-72.68631666
101,41.74227979,-72.71454908
102,41.7614856,-72.68978021
103,41.76003619,-72.68464617
104,41.74006747,-72.71419229
105,41.74076078,-72.71443626
106,41.74562521,-72.68672623
107,41.79385141,-72.6972269
108,41.78004307,-72.68822923
109,41.74181136,-72.66012764
110,41.79597938,-72.71683907
111,41.7480217,-72.67380159
112,41.74923374,-72.68428006
113,41.75340663,-72.70871166
114,41.77082411,-72.69490726
115,41.74895165,-72.68378057
116,41.78410035,-72.6922431
117,41.77064564,-72.6858957
118,41.79891676,-72.69590943
119,41.79978777,-72.66377411
120,41.78337547,-72.67487104
121,41.77744117,-72.70021123
122,41.74370431,-72.69669505
123,41.74364967,-72.67171748
124,41.74237948,-72.69037866
125,41.77243545,-72.67803544
126,41.74262216,-72.68057056
127,41.76036549,-72.69034394
128,41.74018665,-72.69640788
129,41.76361066,-72.7090672
130,41.75589678,-72.67295494
131,41.78204574,-72.66701334
132,41.79174944,-72.68431683
133,41.79726127,-72.70384707
134,41.78314335,-72.6998389
135,41.76749924,-72.68658215
136,41.76226997,-72.69025708
137,41.77243545,-72.67803544
138,41.77930734,-72.69044812
139,41.78198423,-72.67573571
140,41.74006747,-72.71419229
141,41.75793732,-72.68987247
142,41.74122652,-72.68367935
143,41.7528078,-72.67755934
144,41.78702008,-72.70335288
145,41.76639706,-72.70752872
146,41.75600106,-72.67241888
147,41.73736057,-72.66093592
148,41.74773719,-72.68562921
149,41.74259119,-72.6726121
150,41.73975215,-72.68905982
151,41.73628837,-72.68785793
152,41.7682143,-72.69712791
153,41.74006747,-72.71419229
154,41.75725295,-72.68209023
155,41.78588352,-72.6826854
156,41.76459475,-72.70728886
157,41.76800791,-72.67525469
158,41.74006747,-72.71419229
159,41.79898722,-72.66222689
160,41.74006747,-72.71419229
161,41.75456231,-72.68273448
162,41.73767876,-72.67123044
163,41.7866713,-72.68945136
164,41.77819941,-72.67870589
165,41.76488102,-72.69151435
166,41.7855107,-72.6744041
167,41.74923374,-72.68428006
168,41.76734432,-72.67823887
169,41.79572253,-72.70620869
170,41.79783216,-72.6702998
171,41.77422785,-72.68004525
172,41.784628,-72.67059385
173,41.72994584,-72.66890714
174,41.76795567,-72.68118842
175,41.75173109,-72.69848121
176,41.78995976,-72.67676094
177,41.76564694,-72.70906617
178,41.77064892,-72.69048835
179,41.77243545,-72.67803544
180,41.77243545,-72.67803544
181,41.77705921,-72.67953651
182,41.76678425,-72.70019296
183,41.78889546,-72.67733872
184,41.78373741,-72.68341167
185,41.78019911,-72.67588089
186,41.77243545,-72.67803544
187,41.78019947,-72.68498964
188,41.75503741,-72.68219891
189,41.79360317,-72.66563884
190,41.76809872,-72.67805812
191,41.73188991,-72.69382369
192,41.73531701,-72.68650856
193,41.7762218,-72.69459401
194,41.74109697,-72.68126084
195,41.75693502,-72.69176719
196,41.75771541,-72.69218498
197,41.78869789,-72.67577757
198,41.7757614,-72.68044399
199,41.76605961,-72.70446887
